Date,NDX,AAPL,MSFT,INTC,COST,MDB,KDP,CERN,ADBE,NVDA,NFLX,PEP,PYPL,ADSK,DOCU,FTNT,OKTA,QCOM,VRSN,ZBRA,AKAM,ANSS,CDW
2011-01-03,2254.23,10.09,22.06,15.0,54.67,,4.32,23.26,31.29,3.63,25.49,47.6,,39.27,,16.55,,37.36,30.87,38.2,48.26,52.57,
2011-01-04,2251.46,10.14,22.15,15.22,54.56,,4.33,22.89,31.51,3.62,25.91,47.35,,38.53,,17.49,,37.95,30.68,37.84,47.14,52.34,
2011-01-05,2270.4,10.23,22.08,15.07,53.55,,4.42,22.91,32.22,3.9,25.68,48.21,,41.24,,18.25,,38.74,30.95,37.8,48.85,53.2,
2011-01-06,2277.51,10.22,22.72,14.95,53.3,,4.46,22.95,32.27,4.44,25.43,48.39,,41.26,,18.19,,39.22,31.2,37.48,48.45,53.27,
2011-01-07,2276.7,10.29,22.55,14.87,53.3,,4.32,23.01,32.04,4.56,25.61,48.06,,40.76,,17.61,,38.52,30.81,37.6,48.69,52.45,
2011-01-10,2284.38,10.49,22.25,14.89,53.17,,4.28,23.11,32.96,4.74,26.84,47.82,,40.87,,18.0,,38.49,30.41,37.71,48.79,53.61,
2011-01-11,2288.73,10.46,22.16,15.15,53.61,,4.35,23.3,32.98,4.66,26.66,48.02,,40.8,,18.03,,38.77,30.28,38.51,48.75,53.97,
2011-01-12,2304.88,10.55,22.51,15.33,53.93,,4.38,23.27,33.57,5.36,26.99,48.31,,40.53,,18.29,,38.97,30.07,38.55,49.26,53.82,
2011-01-13,2305.53,10.58,22.23,15.32,54.01,,4.36,23.14,33.38,5.37,27.36,48.44,,41.08,,18.4,,38.62,30.1,38.79,50.38,53.96,
2011-01-14,2323.43,10.67,22.31,15.17,54.7,,4.34,23.5,33.79,5.42,27.35,48.34,,41.44,,18.68,,38.75,30.63,38.67,51.75,54.96,
2011-01-18,2328.79,10.43,22.6,15.17,54.77,,4.31,23.69,34.18,5.29,27.67,48.19,,42.03,,18.33,,39.48,30.74,38.97,52.24,55.99,
2011-01-19,2303.32,10.38,22.45,15.12,54.37,,4.32,23.32,33.91,5.15,27.27,47.71,,41.49,,17.8,,38.82,30.13,38.55,51.51,54.93,
2011-01-20,2286.08,10.19,22.35,15.08,54.59,,4.27,23.32,33.49,5.15,26.43,47.71,,41.31,,17.48,,38.22,30.21,38.18,50.34,52.15,
2011-01-21,2268.32,10.0,22.09,14.98,54.9,,4.29,23.38,33.27,5.1,26.01,47.68,,41.5,,17.55,,38.15,29.76,37.83,48.93,52.51,
2011-01-24,2300.39,10.33,22.38,15.29,54.78,,4.26,23.57,34.03,5.68,26.28,47.91,,41.05,,17.25,,38.34,30.23,38.53,49.43,53.31,
2011-01-25,2304.03,10.45,22.43,15.51,54.66,,4.32,23.36,33.56,5.5,26.68,47.61,,40.33,,16.96,,38.36,30.04,38.62,47.82,51.82,
2011-01-26,2314.19,10.53,22.69,15.65,54.78,,4.32,23.38,33.52,5.64,26.15,47.68,,40.88,,19.83,,38.61,30.46,39.13,48.02,52.97,
2011-01-27,2330.07,10.51,22.76,15.65,55.16,,4.32,23.5,33.85,5.62,30.12,47.46,,40.77,,18.9,,40.88,30.4,39.46,47.99,52.55,
2011-01-28,2270.51,10.29,21.88,15.44,54.26,,4.25,23.4,32.49,5.46,31.14,46.62,,39.97,,18.48,,40.01,31.19,38.27,47.75,51.85,
2011-01-31,2281.91,10.39,21.86,15.44,54.19,,4.32,23.98,33.05,5.49,30.58,46.56,,40.68,,19.23,,40.3,31.09,38.9,48.32,52.45,
2011-02-01,2324.95,10.56,22.07,15.46,54.64,,4.31,24.28,33.51,5.62,30.41,47.09,,42.16,,19.73,,41.01,31.56,40.0,49.07,53.53,
2011-02-02,2321.09,10.54,22.03,15.52,53.45,,4.32,23.93,33.43,5.87,30.18,46.8,,43.41,,19.5,,40.2,31.45,39.8,48.06,54.11,
2011-02-03,2323.07,10.52,21.8,15.65,55.85,,4.3,23.59,33.53,5.76,30.21,46.46,,43.75,,19.44,,40.94,31.83,40.08,48.11,53.89,
2011-02-04,2338.2,10.61,21.9,15.73,55.92,,4.35,23.98,33.36,5.9,31.44,46.22,,43.69,,20.43,,41.12,32.6,40.35,47.88,54.26,
2011-02-07,2349.2,10.77,22.23,15.74,56.01,,4.36,24.19,33.56,5.65,31.15,46.1,,43.52,,19.88,,41.0,32.83,40.45,47.39,55.04,
2011-02-08,2363.61,10.88,22.3,15.71,56.43,,4.3,24.41,33.57,5.48,31.09,46.45,,42.93,,20.24,,41.77,32.8,40.21,48.1,54.43,
2011-02-09,2360.95,10.97,22.05,15.57,56.48,,4.29,23.64,33.01,5.35,31.76,46.64,,42.24,,20.08,,41.85,33.32,40.7,47.99,53.65,
2011-02-10,2364.35,10.86,21.68,15.82,56.39,,4.14,23.81,33.57,5.24,31.89,45.87,,42.75,,20.33,,42.44,33.46,40.95,40.75,54.4,
2011-02-11,2379.15,10.93,21.49,15.79,56.76,,4.14,23.94,33.67,5.39,33.01,46.24,,42.69,,20.32,,42.89,33.92,41.18,41.43,54.37,
2011-02-14,2385.6,11.0,21.47,15.65,56.48,,4.12,23.81,33.86,5.31,35.36,45.85,,42.34,,20.5,,43.31,33.8,41.1,42.1,54.24,
2011-02-15,2381.92,11.02,21.38,15.57,56.23,,4.15,24.03,33.94,5.18,34.4,46.58,,42.71,,20.23,,43.66,33.82,38.48,42.95,54.12,
2011-02-16,2397.94,11.12,21.43,15.79,56.7,,4.18,24.17,34.69,5.37,33.96,46.3,,43.84,,20.63,,43.59,34.17,38.63,42.79,54.51,
